"MovieName","Genre"
"Mighty Morphin Power Rangers: The Movie","Action"
"Mike and Dave Need Wedding Dates","Comedy"
"Minecraft: The Story of Mojang","Documentary"
"Minions","Family"
"Miracle at St. Anna","Thriller"
"Miracle on 34th Street","Fantasy"
"Misconduct","Drama"
"Mission: Impossible – Ghost Protocol","Action"
"Mission: Impossible","Adventure"
"Mission: Impossible II","Adventure"
"Mission: Impossible – Rogue Nation","Action"
"Moana","Adventure"
"Mojave","Thriller"
"Money Monster","Thriller"
"Monsters Inc.","Animation"
"Monsters University","Family"
"Moonlight","Drama"
"Mortal Kombat","Action"
"Mortal Kombat: Annihilation","Action"
"Mother's Day","Comedy"
"Bean","Comedy"
"Mr. Bean's Holiday","Comedy"
"Mrs. Doubtfire","Comedy"
"Ms .45","Crime"
"Mulan","Animation"
"Mulan II","Animation"
"Munich","Drama"
"My All American","Drama"
"My Best Friend's Wedding","Comedy"
"My Own Private Idaho","Drama"
"Narcopolis","Thriller"
"Nativity 3: Dude Where's My Donkey?!","Comedy"
"Nativity!","Comedy"
"Navy Seals vs. Zombies","Horror"
"Need for Speed","Action"
"Neighbors 2: Sorority Rising","Comedy"
"Nerve","Crime"
"Never Talk to Strangers","Thriller"
"New Jack City","Thriller"
"Next","Action"
"Next of Kin","Adventure"
"Night at the Museum: Secret of the Tomb","Adventure"
"Nightcrawler","Crime"
"No Escape","Action"
"No Good Deed","Action"
"No Good Deed","Thriller"
"No Way Out","Crime"
"Northmen: A Viking Saga","Adventure"
"Not Another Teen Movie","Comedy"
"Now You See Me","Thriller"
"Now You See Me 2","Action"
"Oblivion","Action"
"Oliver & Company","Animation"
"Olsenbandens aller siste kupp","Comedy"
"Olsenbanden for full musikk","Comedy"
"Olsenbanden gir seg aldri!","Comedy"
"Olsenbanden møter Kongen og Knekten","Comedy"
"Olsenbanden og Data-Harry sprenger verdensbanken","Comedy"
"Olsenbanden og Dynamitt-Harry","Comedy"
"Olsenbanden og Dynamitt-Harry går amok","Comedy"
"Olsenbanden og Dynamitt-Harry mot nye høyder","Comedy"
"Olsenbanden og Dynamitt-Harry på sporet","Comedy"
"Olsenbanden","Comedy"
"Olsenbandens siste bedrifter","Comedy"
"Olsenbandens siste stikk","Comedy"
"Olsenbanden tar gull","Comedy"
"... men Olsenbanden var ikke død!","Comedy"
"Olympus Has Fallen","Action"
"Once Upon a Time in America","Drama"
"One Eight Seven","Drama"
"One Hour Photo","Drama"
"Open Windows","Thriller"
"Operation Avalanche","Thriller"
"Operation Mekong","Action"
"Operator","Thriller"
"Ordinary World","Comedy"
"Oz: The Great and Powerful","Fantasy"
"Pacific Rim","Action"
"Pain & Gain","Thriller"
"Pan","Family"
"Pandemic","Action"
"Papillon","Crime"
"Paradise Alley","Action"
"Paranoia","Drama"
"Paranormal Activity: The Ghost Dimension","Horror"
"Parkland","History"
"Passenger 57","Action"
"Patriot Games","Drama"
"Paul Blart: Mall Cop 2","Family"
"Pawn Sacrifice","Drama"
"Pearl Harbor","History"
"Penguins of Madagascar","Family"
"Perfect Sense","Drama"
"Persecuted","Action"
"Peter Pan","Animation"
"Phase 7","Thriller"
"Physical Evidence","Crime"
"Pinchcliffe Grand Prix","Animation"
"Pirates","Adventure"
"Pirates of Silicon Valley","Drama"
"Pirates of the Caribbean: On Stranger Tides","Adventure"
"Pixels","Action"
"Pocahontas","Adventure"
"Pocahontas II: Journey to a New World","Adventure"
"Point Break","Action"
"Police Academy","Comedy"
"Police Academy 2: Their First Assignment","Action"
"Police Academy 3: Back in Training","Action"
"Police Academy 4: Citizens on Patrol","Action"
"Police Academy 5: Assignment Miami Beach","Action"
"Police Academy 6: City Under Siege","Comedy"
"Police Academy: Mission to Moscow","Action"
"Pompeii","Action"
"Predestination","Science Fiction"
"President's Day","Horror"
"Presto","Animation"
"Pretty Woman","Romance"
"Pride and Prejudice and Zombies","Romance"
"Prince of Persia: The Sands of Time","Adventure"
"Puss in Boots","Animation"
"Quarantine","Horror"
"Quiz Show","History"
"R.L. Stine's Monsterville: The Cabinet of Souls","Family"
"Racing Extinction","Adventure"
"Rambo","Action"
"Rango","Animation"
"Rasmus på loffen","Family"
"Ratatouille","Animation"
"Ratchet & Clank","Action"
"Reasonable Doubt","Crime"
"RED","Action"
"RED 2","Action"
"Red Planet","Thriller"
"Red Riding Hood","Thriller"
"Red Rock West","Crime"
"Reflections","Thriller"
"Replicant","Action"
"Resident Evil: Retribution","Action"
"Revenge","Drama"
"Ride Along","Action"
"Ride Along 2","Action"
"Riot","Action"
"Rise of the Guardians","Animation"
"Rise of the Planet of the Apes","Thriller"
"Risen","Action"
"Rising Sun","Action"
"Rivers 9","Action"
"Robin Hood","Animation"
"Robin Hood","Action"
"Robin Williams: Live on Broadway","Comedy"
"Robin Williams: Weapons of Self Destruction","Comedy"
"RoboCop","Action"
"RoboCop 2","Action"
"RoboCop 3","Action"
"RoboCop","Science Fiction"
"Robot Overlords","Adventure"
"Rocky","Drama"
"Rocky Balboa","Drama"
"Rocky II","Drama"
"Rocky III","Drama"
"Rocky IV","Drama"
"Rocky V","Drama"
"Rollercoaster","Action"
"Rumor Has It...","Comedy"
"Rupture","Thriller"
"Rush","Crime"
"Russell Peters: Outsourced","Comedy"
"RZ-9","Action"
"Sabotage","Action"
"Safe House","Action"
"Salt","Action"
"Samurai Cop","Action"
"Saturday Night Fever","Drama"
"Saving Private Ryan","Drama"
"Scent of a Woman","Drama"
"Major Saab","Foreign"
"Scott Pilgrim vs. the World","Comedy"
"Scrat: Spaced Out","Science Fiction"
"Se7en","Crime"
"Seal Team Eight: Behind Enemy Lines","Action"
"Season of the Witch","Adventure"
"Second In Command","Action"
"Secret in Their Eyes","Crime"
"Self/less","Mystery"
"Septembers of Shiraz","Drama"
"Serpico","Crime"
"Seventh Son","Adventure"
"Sherlock Holmes: A Game of Shadows","Adventure"
"Shipwrecked","Family"
"Shooter","Action"
"Shortcut to Happiness","Fantasy"
"Showdown in Little Tokyo","Action"
"Shutter Island","Drama"
"Sicario","Thriller"
"Silent Trigger","Drama"
"Silk","Action"
"Siren Song","Horror"
"Skiptrace","Action"
"Sleeping Beauty","Fantasy"
"Sleeping Beauty","Fantasy"
"Sleeping with Other People","Comedy"
"Sleepy Hollow","Drama"
"Sliver","Drama"
"Small Soldiers","Comedy"
"Snake Eyes","Crime"
"Sniper: Special Ops","Action"
"Snitch","Thriller"
"Snow White and the Huntsman","Adventure"
"Snow White and the Seven Dwarfs","Fantasy"
"Snowden","Drama"
"Society","Drama"
"Song of the South","Animation"
"Space Jam","Animation"
"Space Pirate Captain Harlock","Animation"
